titre;date;genre;duree;realisateur;acteurs;nationalite;synopsis;distributeur;recompenses;date_sortie_dvd;box_office;budget;visa;note_presse;note_spectateurs;nombre_presse;nombre_spectateurs;url
Forrest Gump;05-oct-94;Romance, Drame, Comédie;2h 20min;Robert Zemeckis;Tom Hanks, Gary Sinise, Robin Wright;américain;Quelques décennies d'histoire américaine, des années 1940 à la fin du XXème siècle, à travers le regard et l'étrange odyssée d'un homme simple et pur, Forrest Gump.;United International Pictures (UIP);10 prix et 21 nominations;28/08/2001;3 935 948 entrées;55 000 000 $;86499;2,6;4,6;5 critiques;108130 notes dont 3189 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=10568.html
La Ligne verte;01-mars-00;Fantastique, Policier;3h 09min;Frank Darabont;Tom Hanks, Michael Clarke Duncan, David Morse;américain;Paul Edgecomb, pensionnaire centenaire d'une maison de retraite, est hanté par ses souvenirs. Gardien-chef du pénitencier de Cold Mountain en 1935, il était chargé de veiller au bon déroulement des exécutions capitales en s’efforçant d'adoucir les derniers moments des condamnés. Parmi eux se trouvait un colosse du nom de John Coffey, accusé du viol et du meurtre de deux fillettes. Intrigué par cet homme candide et timide aux dons magiques, Edgecomb va tisser avec lui des liens très forts.;United International Pictures (UIP);6 nominations;05/12/2000;1 714 474 entrées;60 000 000 $;99168;2,8;4,6;25 critiques;96126 notes dont 2763 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=22779.html
La Liste de Schindler;02-mars-94;Historique, Guerre;3h 15min;Steven Spielberg;Liam Neeson, Ben Kingsley, Ralph Fiennes;américain;Evocation des années de guerre d'Oskar Schindler, fils d'industriel d'origine autrichienne rentré à Cracovie en 1939 avec les troupes allemandes. Il va, tout au long de la guerre, protéger des juifs en les faisant travailler dans sa fabrique et en 1944 sauver huit cents hommes et trois cents femmes du camp d'extermination de Auschwitz-Birkenau.;Universal Pictures International France;17 prix et 14 nominations;09/03/2004;2 651 078 entrées;25 000 000 $;-;4,2;4,6;5 critiques;57233 notes dont 1905 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=9393.html
Le Parrain;18-oct-72;Policier, Drame;2h 55min;Francis Ford Coppola;Marlon Brando, Al Pacino, James Caan;américain;"En 1945, à New York, les Corleone sont une des cinq familles de la mafia. Don Vito Corleone, ""parrain"" de cette famille, marie sa fille à un bookmaker. Sollozzo, "" parrain "" de la famille Tattaglia, propose à Don Vito une association dans le trafic de drogue, mais celui-ci refuse. Sonny, un de ses fils, y est quant à lui favorable.Afin de traiter avec Sonny, Sollozzo tente de faire tuer Don Vito, mais celui-ci en réchappe. Michael, le frère cadet de Sonny, recherche alors les commanditaires de l'attentat et tue Sollozzo et le chef de la police, en représailles.Michael part alors en Sicile, où il épouse Apollonia, mais celle-ci est assassinée à sa place. De retour à New York, Michael épouse Kay Adams et se prépare à devenir le successeur de son père...";Park Circus France;2 prix et 5 nominations;11/05/2004;4 025 064 entrées;6 000 000 $;39917;4,6;4,5;10 critiques;50123 notes dont 1860 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=1628.html
12 hommes en colère;04-sept-57;Drame;1h 35min;Sidney Lumet;Henry Fonda, Martin Balsam, John Fiedler;américain;Un jeune homme d'origine modeste est accusé du meurtre de son père et risque la peine de mort. Le jury composé de douze hommes se retire pour délibérer et procède immédiatement à un vote : onze votent coupable, or la décision doit être prise à l'unanimité. Le juré qui a voté non-coupable, sommé de se justifier, explique qu'il a un doute et que la vie d'un homme mérite quelques heures de discussion. Il s'emploie alors à les convaincre un par un.;Carlotta Films;2 prix et 12 nominations;18/10/2007;-;$ 340 000;19677;5;4,5;7 critiques;17311 notes dont 809 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=4063.html
Les Evadés;01-mars-95;Drame;2h 20min;Frank Darabont;Tim Robbins, Morgan Freeman, Bob Gunton;américain;En 1947, Andy Dufresne, un jeune banquier, est condamné à la prison à vie pour le meurtre de sa femme et de son amant. Ayant beau clamer son innocence, il est emprisonné à Shawshank, le pénitencier le plus sévère de l'Etat du Maine. Il y fait la rencontre de Red, un Noir désabusé, détenu depuis vingt ans. Commence alors une grande histoire d'amitié entre les deux hommes...;ARP / UGC;9 nominations;21/12/1999;-;25 000 000 $;-;3,2;4,5;5 critiques;51721 notes dont 1881 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=11736.html
Le Seigneur des anneaux : le retour du roi;17-déc-03;Fantastique, Aventure;3h 21min;Peter Jackson;Sean Astin, Elijah Wood, Viggo Mortensen;néo-zélandais;Les armées de Sauron ont attaqué Minas Tirith, la capitale de Gondor. Jamais ce royaume autrefois puissant n'a eu autant besoin de son roi. Mais Aragorn trouvera-t-il en lui la volonté d'accomplir sa destinée ?Tandis que Gandalf s'efforce de soutenir les forces brisées de Gondor, Théoden exhorte les guerriers de Rohan à se joindre au combat. Mais malgré leur courage et leur loyauté, les forces des Hommes ne sont pas de taille à lutter contre les innombrables légions d'ennemis qui s'abattent sur le royaume...Chaque victoire se paye d'immenses sacrifices. Malgré ses pertes, la Communauté se jette dans la bataille pour la vie, ses membres faisant tout pour détourner l'attention de Sauron afin de donner à Frodon une chance d'accomplir sa quête.Voyageant à travers les terres ennemies, ce dernier doit se reposer sur Sam et Gollum, tandis que l'Anneau continue de le tenter...;Warner Bros. France;22 prix et 9 nominations;25/05/2004;7 256 353 entrées;94 000 000 $;109443;3,8;4,5;18 critiques;111576 notes dont 3577 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=39187.html
The Dark Knight, Le Chevalier Noir;13-août-08;Action, Thriller;2h 32min;Christopher Nolan;Christian Bale, Heath Ledger, Aaron Eckhart;britannique;Dans ce nouveau volet, Batman augmente les mises dans sa guerre contre le crime. Avec l'appui du lieutenant de police Jim Gordon et du procureur de Gotham, Harvey Dent, Batman vise à éradiquer le crime organisé qui pullule dans la ville. Leur association est très efficace mais elle sera bientôt bouleversée par le chaos déclenché par un criminel extraordinaire que les citoyens de Gotham connaissent sous le nom de Joker.;Warner Bros. France;6 prix et 22 nominations;13/02/2009;3 005 625 entrées;180 000 000 $;121053;4;4,5;21 critiques;91952 notes dont 6461 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=115362.html
Your Name;28-déc-16;Animation, Fantastique;1h 50min;Makoto Shinkai;Yoann Borg, Alice Orsat, Fanny Blanchard;japonais;Mitsuha, adolescente coincée dans une famille traditionnelle, rêve de quitter ses montagnes natales pour découvrir la vie trépidante de Tokyo. Elle est loin d’imaginer pouvoir vivre l’aventure urbaine dans la peau de… Taki, un jeune lycéen vivant à Tokyo, occupé entre son petit boulot dans un restaurant italien et ses nombreux amis. À travers ses rêves, Mitsuha se voit littéralement propulsée dans la vie du jeune garçon au point qu’elle croit vivre la réalité... Tout bascule lorsqu’elle réalise que Taki rêve également d’une vie dans les montagnes, entouré d’une famille traditionnelle… dans la peau d’une jeune fille ! Une étrange relation s’installe entre leurs deux corps qu’ils accaparent mutuellement. Quel mystère se cache derrière ces rêves étranges qui unissent deux destinées que tout oppose et qui ne se sont jamais rencontrées ?;Eurozoom;3 nominations;22/11/2017;250 859 entrées;-;145591;4;4,5;25 critiques;11135 notes dont 632 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=249877.html
Vol au-dessus d'un nid de coucou;01-mars-76;Drame;2h 09min;Milos Forman;Michael Berryman, Dean R. Brooks, Jack Nicholson;américain;Rebellion dans un hôpital psychiatrique à l'instigation d'un malade qui se révolte contre la dureté d'une infirmière.;Splendor Films;16 prix et 10 nominations;30/09/1998;4 785 680 entrées;4,4 000 000 $;45633;5;4,5;5 critiques;37994 notes dont 1365 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=2072.html
